business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,94110,37.748855,-122.418134,1735943000,2019-08-08,88,Routine - Unscheduled,103123,Food in poor condition,Moderate Risk,2019-08-08,1970-01-01T12:00:00.000Z
591,YOU SEE SUSHI,94 JUDAH St,94122,37.762378,-122.462692,-1009360933,2018-12-11,90,Routine - Unscheduled,103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk,2018-12-11,1970-01-01T12:00:00.000Z
184,RADIO HABANA,1109 VALENCIA St,94110,37.755124,-122.420916,1240311029,2018-02-13,90,Routine - Unscheduled,103131,Moderate risk vermin infestation,Moderate Risk,2018-02-13,1970-01-01T12:00:00.000Z
2008,Hook a Cook,Pier 39  Building B  Space 1-3,94133,37.786766,-122.461545,-1043272287,2019-06-25,94,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2019-06-25,1970-01-01T12:00:00.000Z
3877,BALBOA CAFE,3199 FILLMORE St,94123,37.798835,-122.435894,1173123464,2018-01-04,79,Routine - Unscheduled,103103,High risk food holding temperature,High Risk,2018-01-04,1970-01-01T12:00:00.000Z
1994,EL POLLO SUPREMO,5210 MISSION St,94112,37.715469,-122.441846,1851685004,2018-06-20,90,Routine - Unscheduled,103133,Foods not protected from contamination,Moderate Risk,2018-06-20,1970-01-01T12:00:00.000Z
64351,Fatted Calf SF,320 Fell St,94102,37.775918,-122.423134,1259161298,2017-07-06,92,Routine - Unscheduled,103127,Noncompliance with HAACP plan or variance,Moderate Risk,2017-07-06,1970-01-01T12:00:00.000Z
4683,JAVA ON OCEAN,1700 OCEAN Ave,94112,37.724778,-122.460205,168744945,2018-02-09,88,Routine - Unscheduled,103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2018-02-09,1970-01-01T12:00:00.000Z
4804,SUBWAY #31419,2599 SAN BRUNO Ave,94134,37.728933,-122.40413,-616175946,2016-12-06,86,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2016-12-06,1970-01-01T12:00:00.000Z
1542,I LUV TERIYAKI AND SUSHI,270 Potrero Ave,94103,37.766293,-122.407671,-398631655,2019-10-01,86,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2019-10-01,1970-01-01T12:00:00.000Z
2031,KENMORE RESIDENCE CLUB,1570 SUTTER St,94109,37.787017,-122.426234,1256727805,2019-07-17,83,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2019-07-17,1970-01-01T12:00:00.000Z
4907,JIM GEORGIE'S DONUT,2799 16th St,94103,37.765262,-122.41523,1093898361,2017-01-05,80,Routine - Unscheduled,103145,Improper storage of equipment utensils or linens,Low Risk,2017-01-05,1970-01-01T12:00:00.000Z
37792,Auntie Anne's Pretzels,845 Market St Space 201,94103,37.784848,-122.406892,-351050074,2017-04-06,96,Routine - Unscheduled,103150,Improper or defective plumbing,Low Risk,2017-04-06,1970-01-01T12:00:00.000Z
4480,STARBUCKS COFFEE #545,3995 24th St,94114,37.751413,-122.431629,1343591917,2019-07-01,96,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2019-07-01,1970-01-01T12:00:00.000Z
37090,Basil Canteen,1489 FOLSOM St,94103,37.772008,-122.413803,-1831552938,2019-08-06,85,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2019-08-06,1970-01-01T12:00:00.000Z
6756,Godiva Chocolatier Inc.,3251 20th Ave 154,94132,37.728497,-122.475639,1310305137,2017-06-09,92,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2017-06-09,1970-01-01T12:00:00.000Z
